longitude,latitude,temperature
21.7,57.6,9.170650183150183
21.7,57.9,9.116666666666667
21.7,58.2,9.116666666666667
21.7,58.5,9.116666666666667
21.7,58.8,9.7808836996337
21.7,59.1,9.809363553113554
21.7,59.4,9.661927655677657
21.7,59.7,9.431776556776557
22.2,57.6,8.962248168498169
22.2,57.9,9.576831501831501
22.2,58.2,8.937385531135531
22.2,58.5,8.970306776556777
22.2,58.8,8.430769230769231
22.2,59.1,8.430769230769231
22.2,59.4,9.522458791208791
22.2,59.7,9.333150183150183
22.7,57.6,9.135714285714286
22.7,57.9,9.043910256410257
22.7,58.2,8.891414835164834
22.7,58.5,8.509249084249085
22.7,58.8,8.586446886446886
22.7,59.1,8.56172161172161
22.7,59.4,9.35412087912088
22.7,59.7,8.379052197802197
23.2,57.6,9.71238553113553
23.2,57.9,9.734913003663003
23.2,58.2,9.481730769230769
23.2,58.5,8.678708791208791
23.2,58.8,8.648374542124541
23.2,59.1,8.805448717948718
23.2,59.4,9.180196886446886
23.2,59.7,8.379052197802197
23.7,57.6,9.53999542124542
23.7,57.9,9.409546703296703
23.7,58.2,8.469619963369965
23.7,58.5,8.37864010989011
23.7,58.8,8.169848901098902
23.7,59.1,8.099496336996337
23.7,59.4,8.067467948717947
23.7,59.7,7.927083333333333
24.2,57.6,8.22190934065934
24.2,57.9,7.486034798534798
24.2,58.2,7.877953296703297
24.2,58.5,7.585279304029304
24.2,58.8,7.438759157509158
24.2,59.1,7.339514652014652
24.2,59.4,7.980677655677655
24.2,59.7,8.70448717948718
24.7,57.6,7.421336996336997
24.7,57.9,7.378617216117216
24.7,58.2,7.121062271062271
24.7,58.5,7.128754578754579
24.7,58.8,7.030631868131868
24.7,59.1,6.967490842490842
24.7,59.4,7.428731684981686
24.7,59.7,7.769001831501831
25.2,57.6,7.058791208791209
25.2,57.9,7.118543956043956
25.2,58.2,6.936904761904763
25.2,58.5,7.05327380952381
25.2,58.8,6.6740613553113555
25.2,59.1,6.793177655677655
25.2,59.4,7.12724358974359
25.2,59.7,7.731982600732602
25.7,57.6,6.800503663003663
25.7,57.9,6.768498168498168
25.7,58.2,6.504510073260073
25.7,58.5,6.735485347985348
25.7,58.8,6.657669413919414
25.7,59.1,6.417399267399268
25.7,59.4,6.730563186813186
25.7,59.7,7.610966117216116
26.2,57.6,6.654578754578755
26.2,57.9,6.746130952380952
26.2,58.2,6.561172161172161
26.2,58.5,6.730998168498169
26.2,58.8,6.542284798534799
26.2,59.1,6.358287545787546
26.2,59.4,6.5830815018315025
26.2,59.7,7.4820741758241756
26.7,57.6,6.405769230769231
26.7,57.9,6.416620879120879
26.7,58.2,6.442124542124542
26.7,58.5,6.705746336996337
26.7,58.8,6.506684981684982
26.7,59.1,6.341575091575091
26.7,59.4,6.6264652014652015
26.7,59.7,7.2556089743589745
27.2,57.6,6.153388278388278
27.2,57.9,6.349496336996337
27.2,58.2,6.797939560439561
27.2,58.5,7.001259157509158
27.2,58.8,7.083836996336997
27.2,59.1,6.595398351648352
27.2,59.4,6.765086996336997
27.2,59.7,8.156295787545787
27.7,57.6,6.371588827838828
27.7,57.9,6.628754578754579
27.7,58.2,6.878800366300366
27.7,58.5,6.949404761904762
27.7,58.8,6.867513736263736
27.7,59.1,6.606318681318681
27.7,59.4,6.505288461538461
27.7,59.7,7.127358058608058
28.2,57.6,6.580998168498168
28.2,57.9,6.752999084249084
28.2,58.2,6.471108058608058
28.2,58.5,6.46231684981685
28.2,58.8,6.241689560439561
28.2,59.1,6.337202380952381
28.2,59.4,6.629739010989011
28.2,59.7,6.779739010989012
