longitude,latitude,temperature
21.7,57.6,7.075738134206219
21.7,57.9,7.112923076923076
21.7,58.2,7.112923076923076
21.7,58.5,7.112923076923076
21.7,58.8,7.170893617021276
21.7,59.1,7.1025662847790505
21.7,59.4,6.770631751227495
21.7,59.7,6.530415711947628
22.2,57.6,6.773885433715221
22.2,57.9,7.056045826513912
22.2,58.2,6.789270049099836
22.2,58.5,6.895090016366612
22.2,58.8,6.7021734860883795
22.2,59.1,6.7021734860883795
22.2,59.4,6.650016366612111
22.2,59.7,6.3850278232405895
22.7,57.6,6.903378068739771
22.7,57.9,6.748602291325695
22.7,58.2,6.706500818330606
22.7,58.5,6.581040916530278
22.7,58.8,6.6183306055646485
22.7,59.1,6.730723404255319
22.7,59.4,6.520995090016366
22.7,59.7,5.63158101472995
23.2,57.6,6.921852700490999
23.2,57.9,6.916216039279869
23.2,58.2,6.705466448445172
23.2,58.5,6.5689492635024544
23.2,58.8,6.512523731587562
23.2,59.1,6.483639934533552
23.2,59.4,6.295646481178396
23.2,59.7,5.63158101472995
23.7,57.6,6.975561374795417
23.7,57.9,6.79917512274959
23.7,58.2,6.3321505728314245
23.7,58.5,6.25627495908347
23.7,58.8,6.110945990180032
23.7,59.1,5.99347954173486
23.7,59.4,6.005486088379706
23.7,59.7,5.569780687397708
24.2,57.6,6.413996726677578
24.2,57.9,6.141008183306055
24.2,58.2,6.079417348608838
24.2,58.5,5.8948805237315876
24.2,58.8,5.636484451718495
24.2,59.1,5.42652045826514
24.2,59.4,5.811764320785597
24.2,59.7,5.7543502454991815
24.7,57.6,5.7083142389525365
24.7,57.9,5.694265139116203
24.7,58.2,5.4912536824877245
24.7,58.5,5.3697217675941085
24.7,58.8,5.280530278232407
24.7,59.1,5.156896890343699
24.7,59.4,5.504772504091653
24.7,59.7,5.831423895253683
25.2,57.6,5.464582651391162
25.2,57.9,5.525270049099836
25.2,58.2,5.279050736497545
25.2,58.5,5.404877250409165
25.2,58.8,4.871286415711947
25.2,59.1,4.985950900163666
25.2,59.4,5.248707037643208
25.2,59.7,5.802225859247136
25.7,57.6,5.282821603927987
25.7,57.9,5.2195679214402615
25.7,58.2,4.809806873977087
25.7,58.5,5.032602291325696
25.7,58.8,4.934926350245499
25.7,59.1,4.622716857610475
25.7,59.4,4.914428805237315
25.7,59.7,5.461178396072013
26.2,57.6,5.118841243862521
26.2,57.9,5.272490998363339
26.2,58.2,4.95253682487725
26.2,58.5,5.038271685761048
26.2,58.8,4.816281505728314
26.2,59.1,4.648176759410801
26.2,59.4,4.8240523731587555
26.2,59.7,5.360471358428805
26.7,57.6,4.972078559738134
26.7,57.9,4.950500818330605
26.7,58.2,4.924785597381343
26.7,58.5,5.0916595744680855
26.7,58.8,4.795266775777414
26.7,59.1,4.6139312602291325
26.7,59.4,4.752635024549918
26.7,59.7,5.351901800327332
27.2,57.6,4.783135842880523
27.2,57.9,4.965466448445172
27.2,58.2,5.3556857610474635
27.2,58.5,5.28291325695581
27.2,58.8,5.259096563011457
27.2,59.1,4.797342062193126
27.2,59.4,4.8723862520458265
27.2,59.7,5.329905073649755
27.7,57.6,4.980170212765958
27.7,57.9,5.241636661211129
27.7,58.2,5.294265139116202
27.7,58.5,5.28807201309329
27.7,58.8,5.0600589198036
27.7,59.1,4.8863109656301145
27.7,59.4,4.937518821603929
27.7,59.7,5.129505728314239
28.2,57.6,5.134042553191489
28.2,57.9,5.182553191489362
28.2,58.2,5.002631751227495
28.2,58.5,4.959993453355155
28.2,58.8,4.681944353518821
28.2,59.1,4.746396072013093
28.2,59.4,4.871554828150573
28.2,59.7,4.78739116202946
