longitude,latitude,rain
21.7,57.6,0.05856628477905074
21.7,57.9,0.05108346972176759
21.7,58.2,0.05108346972176759
21.7,58.5,0.05108346972176759
21.7,58.8,0.06032733224222586
21.7,59.1,0.05668085106382979
21.7,59.4,0.05304746317512275
21.7,59.7,0.052157119476268415
22.2,57.6,0.0508216039279869
22.2,57.9,0.05108346972176759
22.2,58.2,0.04844517184942717
22.2,58.5,0.046867430441898526
22.2,58.8,0.047116202945990185
22.2,59.1,0.047116202945990185
22.2,59.4,0.05163993453355156
22.2,59.7,0.052235679214402614
22.7,57.6,0.05376104746317512
22.7,57.9,0.04819639934533552
22.7,58.2,0.04819639934533552
22.7,58.5,0.044759410801963995
22.7,58.8,0.04514566284779051
22.7,59.1,0.04514566284779051
22.7,59.4,0.05020621931260229
22.7,59.7,0.05670703764320786
23.2,57.6,0.0516923076923077
23.2,57.9,0.053931260229132576
23.2,58.2,0.05279214402618658
23.2,58.5,0.04785597381342062
23.2,58.8,0.04785597381342062
23.2,59.1,0.04785597381342062
23.2,59.4,0.051345335515548284
23.2,59.7,0.05670703764320786
23.7,57.6,0.06083797054009821
23.7,57.9,0.0589721767594108
23.7,58.2,0.053407528641571195
23.7,58.5,0.053407528641571195
23.7,58.8,0.0523404255319149
23.7,59.1,0.04949263502454992
23.7,59.4,0.04998363338788871
23.7,59.7,0.049099836333878884
24.2,57.6,0.06547954173486088
24.2,57.9,0.04953846153846154
24.2,58.2,0.04953846153846154
24.2,58.5,0.05091325695581015
24.2,58.8,0.05125368248772504
24.2,59.1,0.04850409165302782
24.2,59.4,0.04998363338788871
24.2,59.7,0.050409165302782326
24.7,57.6,0.0550114566284779
24.7,57.9,0.05006873977086743
24.7,58.2,0.04909328968903437
24.7,58.5,0.04894271685761047
24.7,58.8,0.04951227495908347
24.7,59.1,0.04748281505728314
24.7,59.4,0.04382978723404255
24.7,59.7,0.04382978723404255
25.2,57.6,0.051476268412438624
25.2,57.9,0.04877250409165303
25.2,58.2,0.04858919803600655
25.2,58.5,0.048451718494271684
25.2,58.8,0.04720785597381342
25.2,59.1,0.04546644844517185
25.2,59.4,0.0444582651391162
25.2,59.7,0.044229132569558106
25.7,57.6,0.048386252045826514
25.7,57.9,0.046625204582651396
25.7,58.2,0.04629787234042553
25.7,58.5,0.045499181669394435
25.7,58.8,0.04438625204582652
25.7,59.1,0.044373158756137475
25.7,59.4,0.04625859247135843
25.7,59.7,0.04519803600654664
26.2,57.6,0.04804582651391162
26.2,57.9,0.04629787234042553
26.2,58.2,0.04383633387888707
26.2,58.5,0.044353518821603925
26.2,58.8,0.0424746317512275
26.2,59.1,0.04252700490998364
26.2,59.4,0.047626841243862524
26.2,59.7,0.04644189852700491
26.7,57.6,0.04869394435351882
26.7,57.9,0.046009819967266774
26.7,58.2,0.04447790507364975
26.7,58.5,0.044202945990180036
26.7,58.8,0.04271685761047463
26.7,59.1,0.04223895253682488
26.7,59.4,0.04547299509001637
26.7,59.7,0.04547299509001637
27.2,57.6,0.04757446808510639
27.2,57.9,0.044196399345335514
27.2,58.2,0.04479214402618658
27.2,58.5,0.04824222585924713
27.2,58.8,0.04824222585924713
27.2,59.1,0.044137479541734866
27.2,59.4,0.04326022913256956
27.2,59.7,0.05174468085106383
27.7,57.6,0.045342062193126025
27.7,57.9,0.057466448445171854
27.7,58.2,0.05211783960720131
27.7,58.5,0.05149590834697218
27.7,58.8,0.05149590834697218
27.7,59.1,0.050428805237315875
27.7,59.4,0.05421931260229133
27.7,59.7,0.0583240589198036
28.2,57.6,0.04620621931260229
28.2,57.9,0.06030114566284779
28.2,58.2,0.05632733224222586
28.2,58.5,0.05100490998363339
28.2,58.8,0.04999018003273323
28.2,59.1,0.05035024549918167
28.2,59.4,0.05351227495908347
28.2,59.7,0.05351227495908347
