forecast_date,euros_per_mwh
2021-09-01,110.46708333333333
2021-09-02,112.63125000000001
2021-09-03,107.42958333333333
2021-09-04,106.11291666666666
2021-09-05,99.04541666666667
2021-09-06,120.61458333333333
2021-09-07,123.81375000000001
2021-09-08,127.1675
2021-09-09,118.22916666666667
2021-09-10,126.82416666666667
2021-09-11,112.5675
2021-09-12,106.52666666666666
2021-09-13,134.9925
2021-09-14,141.60083333333333
2021-09-15,160.35999999999999
2021-09-16,145.19291666666666
2021-09-17,141.08583333333334
2021-09-18,121.19
2021-09-19,93.46666666666665
2021-09-20,144.80375
2021-09-21,136.10333333333332
2021-09-22,142.04
2021-09-23,103.27208333333334
2021-09-24,91.66583333333334
2021-09-25,112.68916666666667
2021-09-26,110.66958333333334
2021-09-27,134.4375
2021-09-28,149.5725
2021-09-29,127.00583333333333
2021-09-30,110.3175
2021-10-01,103.88458333333334
2021-10-02,83.02208333333333
2021-10-03,19.09625
2021-10-04,130.73499999999999
2021-10-05,111.33291666666666
2021-10-06,106.63541666666667
2021-10-07,178.4020833333333
2021-10-08,167.01500000000001
2021-10-09,117.65166666666666
2021-10-10,89.34166666666665
2021-10-11,115.63333333333333
2021-10-12,136.83124999999998
2021-10-13,169.66416666666666
2021-10-14,158.62375
2021-10-15,95.82041666666667
2021-10-16,46.26625000000001
2021-10-17,69.31583333333333
2021-10-18,141.44833333333335
2021-10-19,140.6775
2021-10-20,68.76166666666667
2021-10-21,67.12208333333334
2021-10-22,66.21333333333334
2021-10-23,95.00999999999999
2021-10-24,79.77666666666667
2021-10-25,106.45458333333333
2021-10-26,153.62333333333333
2021-10-27,109.57666666666667
2021-10-28,100.96875
2021-10-29,109.36958333333332
2021-10-30,72.6775
2021-10-31,64.83458333333333
2021-11-01,71.02125
2021-11-02,86.835
2021-11-03,103.12875000000001
2021-11-04,91.67916666666667
2021-11-05,56.79541666666666
2021-11-06,19.634583333333335
2021-11-07,31.035833333333333
2021-11-08,107.68041666666666
2021-11-09,89.62708333333335
2021-11-10,50.75458333333333
2021-11-11,93.24333333333334
2021-11-12,98.92291666666667
2021-11-13,136.64000000000001
2021-11-14,102.00166666666667
2021-11-15,163.085
2021-11-16,154.10208333333333
2021-11-17,117.13458333333334
2021-11-18,95.665
2021-11-19,85.13
2021-11-20,88.57625
2021-11-21,112.605
2021-11-22,162.54375000000002
2021-11-23,155.53333333333333
2021-11-24,131.75083333333333
2021-11-25,118.16624999999999
2021-11-26,165.5925
2021-11-27,175.08124999999998
2021-11-28,188.09375
2021-11-29,263.955
2021-11-30,187.51999999999998
2021-12-01,167.92791666666668
2021-12-02,196.4275
2021-12-03,188.03833333333333
2021-12-04,165.49875
2021-12-05,148.275
2021-12-06,290.0575
2021-12-07,469.0291666666667
2021-12-08,439.6875
2021-12-09,270.02958333333333
2021-12-10,216.53083333333333
2021-12-11,198.85416666666666
2021-12-12,177.84458333333336
2021-12-13,214.77833333333334
2021-12-14,205.71124999999998
2021-12-15,153.07291666666666
2021-12-16,135.39374999999998
2021-12-17,155.9625
2021-12-18,125.76083333333334
2021-12-19,88.00875
2021-12-20,269.8229166666667
2021-12-21,406.8875
2021-12-22,360.77791666666667
2021-12-23,175.43083333333334
2021-12-24,138.21875
2021-12-25,128.96583333333334
2021-12-26,154.19416666666666
2021-12-27,158.0404166666667
2021-12-28,132.68666666666667
2021-12-29,154.86458333333334
2021-12-30,113.93916666666667
2021-12-31,81.49125
2022-01-01,82.50083333333333
2022-01-02,57.76291666666666
2022-01-03,91.85416666666667
2022-01-04,145.54916666666665
2022-01-05,122.63916666666667
2022-01-06,171.23375
2022-01-07,166.34208333333333
2022-01-08,159.96375
2022-01-09,145.82291666666666
2022-01-10,248.70875
2022-01-11,194.70416666666665
2022-01-12,181.92499999999998
2022-01-13,153.6075
2022-01-14,99.75375000000001
2022-01-15,145.19375
2022-01-16,104.72666666666667
2022-01-17,104.67750000000001
2022-01-18,169.30416666666667
2022-01-19,151.26250000000002
2022-01-20,98.79916666666666
2022-01-21,126.24166666666667
2022-01-22,168.31791666666666
2022-01-23,152.47833333333332
2022-01-24,147.77125
2022-01-25,166.38375
2022-01-26,165.09833333333333
2022-01-27,152.54375000000002
2022-01-28,129.21708333333333
2022-01-29,137.35375000000002
2022-01-30,75.72875
2022-01-31,176.43791666666667
2022-02-01,184.16666666666666
2022-02-02,169.70833333333334
2022-02-03,176.93916666666667
2022-02-04,128.4675
2022-02-05,72.30541666666666
2022-02-06,93.98833333333333
2022-02-07,108.78916666666667
2022-02-08,126.65875
2022-02-09,119.47583333333334
2022-02-10,112.96625
2022-02-11,122.91250000000001
2022-02-12,89.44166666666666
